name,team,age,pre_IP,pre_FIP,prior_FIP,marcel_FIP,proj_FIP,model,mlbam
Justin Wrobleski,Los Angeles Dodgers,25,86.3,3.62,2.925,3.47,4.209,Ridge regression,680736
AJ Blubaugh,Houston Astros,25,53.7,4.124,4.416,4.221,4.214,Ridge regression,805123
Cody Bolton,Houston Astros,28,20.0,5.099,2.135,3.347,4.216,Ridge regression,675989
Michael Wacha,Kansas City Royals,35,108.7,3.688,3.656,3.813,4.217,Ridge regression,608379
Luinder Avila,Kansas City Royals,24,46.7,4.642,2.135,3.548,4.227,Ridge regression,679883
José Fermin,Los Angeles Angels,24,21.0,4.432,5.989,5.154,4.231,Ridge regression,820862
Taylor Clarke,Arizona Diamondbacks,33,35.3,3.637,3.966,3.945,4.235,Ridge regression,664199
Anthony Banda,Minnesota Twins,32,34.3,4.322,4.52,4.433,4.236,Ridge regression,607455
Tyler Mahle,San Francisco Giants,31,62.3,4.687,3.366,4.199,4.239,Ridge regression,641816
Bryce Elder,Atlanta Braves,27,98.7,3.971,4.549,4.148,4.245,Ridge regression,693821
Gerrit Cole,New York Yankees,35,37.7,4.586,,4.418,4.248,Ridge regression,543037
Jack Leiter,Texas Rangers,26,80.0,4.761,4.15,4.493,4.254,Ridge regression,683004
Trevor Richards,Chicago White Sox,33,28.3,4.97,2.429,3.661,4.254,Ridge regression,670950
Ryan Walker,San Francisco Giants,30,21.7,4.437,3.298,3.825,4.256,Ridge regression,676254
Paul Blackburn,New York Yankees,32,37.7,3.789,4.391,4.17,4.268,Ridge regression,621112
Dennis Santana,Pittsburgh Pirates,30,33.3,4.629,3.206,3.932,4.269,Ridge regression,642701
Brandon Sproat,Milwaukee Brewers,25,69.7,5.066,2.796,4.188,4.269,Ridge regression,687075
Taylor Rogers,Minnesota Twins,35,30.7,4.045,4.378,4.306,4.271,Ridge regression,573124
Cole Ragans,Kansas City Royals,28,35.3,6.184,2.503,4.194,4.271,Ridge regression,666142
Ryne Stanek,St. Louis Cardinals,34,31.7,5.025,4.403,4.645,4.272,Ridge regression,592773
Kumar Rocker,Texas Rangers,26,80.0,3.887,4.876,4.212,4.274,Ridge regression,677958
Ron Marinaccio,San Diego Padres,31,40.3,4.735,2.01,3.535,4.275,Ridge regression,676760
Kyle Leahy,St. Louis Cardinals,29,81.3,4.181,3.044,3.863,4.278,Ridge regression,681517
Framber Valdez,Detroit Tigers,32,95.7,4.165,3.375,4.004,4.28,Ridge regression,664285
J.T. Ginn,Athletics,27,88.7,4.013,4.618,4.204,4.28,Ridge regression,669372
Martín Pérez,Atlanta Braves,35,72.0,3.905,4.242,4.13,4.282,Ridge regression,527048
Andre Pallante,St. Louis Cardinals,27,89.3,3.961,4.684,4.191,4.286,Ridge regression,669467
