name,team,age,pre_PA,pre_wOBA,prior_wOBA,marcel_wOBA,proj_wOBA,model,mlbam
Ryan Jeffers,Minnesota Twins,29,148.0,0.4035,0.3312,0.3566,0.3437,Ridge regression,680777
Pete Crow-Armstrong,Chicago Cubs,24,364.0,0.3687,0.3204,0.3537,0.3436,Ridge regression,691718
Ketel Marte,Arizona Diamondbacks,32,347.0,0.3343,0.3775,0.3379,0.3434,Ridge regression,606466
Michael Busch,Chicago Cubs,28,370.0,0.3362,0.3653,0.3398,0.3424,Ridge regression,683737
CJ Abrams,Washington Nationals,25,346.0,0.3664,0.3212,0.3508,0.3423,Ridge regression,682928
Iván Herrera,St. Louis Cardinals,26,365.0,0.3567,0.362,0.3543,0.3422,Ridge regression,671056
Rafael Devers,San Francisco Giants,29,347.0,0.3184,0.3622,0.3269,0.3418,Ridge regression,646240
Willson Contreras,Boston Red Sox,34,329.0,0.3834,0.3417,0.3573,0.3414,Ridge regression,575929
JJ Bleday,Cincinnati Reds,28,228.0,0.362,0.2996,0.3336,0.3414,Ridge regression,668709
Alec Burleson,St. Louis Cardinals,27,348.0,0.3503,0.3431,0.3443,0.3412,Ridge regression,676475
Zach Neto,Los Angeles Angels,25,367.0,0.33,0.3342,0.3311,0.3408,Ridge regression,687263
Drake Baldwin,Atlanta Braves,25,257.0,0.3484,0.3479,0.3455,0.3398,Ridge regression,686948
Spencer Horwitz,Pittsburgh Pirates,28,295.0,0.3653,0.3412,0.351,0.3393,Ridge regression,687462
Dillon Dingler,Detroit Tigers,27,319.0,0.3603,0.3239,0.3449,0.3391,Ridge regression,693307
Bryan Reynolds,Pittsburgh Pirates,31,358.0,0.3792,0.3125,0.3512,0.3388,Ridge regression,668804
Geraldo Perdomo,Arizona Diamondbacks,26,337.0,0.3204,0.3675,0.3327,0.3383,Ridge regression,672695
Andy Pages,Los Angeles Dodgers,25,353.0,0.3402,0.3292,0.3364,0.3377,Ridge regression,681624
Corey Seager,Texas Rangers,32,219.0,0.2888,0.3626,0.3118,0.3372,Ridge regression,608369
Manny Machado,San Diego Padres,33,331.0,0.2769,0.3386,0.2911,0.3372,Ridge regression,592518
Seiya Suzuki,Chicago Cubs,31,289.0,0.3402,0.3404,0.3328,0.3371,Ridge regression,673548
Trent Grisham,New York Yankees,29,264.0,0.3267,0.3503,0.3299,0.3365,Ridge regression,663757
Kyle Stowers,Miami Marlins,28,252.0,0.3138,0.3829,0.334,0.3363,Ridge regression,669065
Gunnar Henderson,Baltimore Orioles,25,385.0,0.3013,0.3371,0.313,0.3361,Ridge regression,683002
Liam Hicks,Miami Marlins,27,288.0,0.3545,0.3111,0.3368,0.3358,Ridge regression,689414
Mickey Moniak,Colorado Rockies,28,178.0,0.3698,0.3444,0.3502,0.3355,Ridge regression,666160
Vladimir Guerrero Jr.,Toronto Blue Jays,27,339.0,0.3051,0.3632,0.321,0.3353,Ridge regression,665489
Riley Greene,Detroit Tigers,25,353.0,0.3529,0.3402,0.3472,0.3345,Ridge regression,682985
Kevin McGonigle,Detroit Tigers,21,358.0,0.3596,,0.3485,0.3341,Ridge regression,805808
Elly De La Cruz,Cincinnati Reds,24,275.0,0.35,0.3301,0.3423,0.3337,Ridge regression,682829
Spencer Torkelson,Detroit Tigers,26,321.0,0.3169,0.3358,0.3224,0.3337,Ridge regression,679529
Julio Rodríguez,Seattle Mariners,25,368.0,0.318,0.3381,0.3243,0.3336,Ridge regression,677594
Jazz Chisholm Jr.,New York Yankees,28,317.0,0.3092,0.346,0.3185,0.3335,Ridge regression,665862
Kazuma Okamoto,Toronto Blue Jays,30,336.0,0.3354,,0.3237,0.3332,Ridge regression,672960
Isaac Paredes,Houston Astros,27,331.0,0.3393,0.3498,0.339,0.3331,Ridge regression,670623
George Springer,Toronto Blue Jays,36,271.0,0.2991,0.4046,0.3231,0.3331,Ridge regression,543807
Jackson Chourio,Milwaukee Brewers,22,219.0,0.3694,0.3258,0.3516,0.333,Ridge regression,694192
Christian Walker,Houston Astros,35,351.0,0.3327,0.3078,0.3161,0.3329,Ridge regression,572233
William Contreras,Milwaukee Brewers,28,332.0,0.3427,0.3295,0.3348,0.3329,Ridge regression,661388
Kyle Tucker,Los Angeles Dodgers,29,326.0,0.3158,0.3603,0.3252,0.3328,Ridge regression,663656
Kerry Carpenter,Detroit Tigers,28,193.0,0.3351,0.3313,0.3292,0.3327,Ridge regression,681481
TJ Rumfield,Colorado Rockies,26,328.0,0.3702,,0.3492,0.3327,Ridge regression,681198
Daylen Lile,Washington Nationals,23,358.0,0.3011,0.3576,0.3204,0.3322,Ridge regression,695734
Xavier Edwards,Miami Marlins,26,351.0,0.349,0.307,0.3353,0.3321,Ridge regression,669364
Cal Raleigh,Seattle Mariners,29,231.0,0.2589,0.3879,0.3062,0.3319,Ridge regression,663728
Will Smith,Los Angeles Dodgers,31,201.0,0.3168,0.3866,0.3365,0.3315,Ridge regression,669257
Wilyer Abreu,Boston Red Sox,27,341.0,0.3309,0.3306,0.3287,0.3314,Ridge regression,677800
JJ Wetherholt,St. Louis Cardinals,23,350.0,0.3374,,0.3322,0.3307,Ridge regression,802139
Moisés Ballesteros,Chicago Cubs,22,175.0,0.2988,0.3711,0.3329,0.3304,Ridge regression,694208
Gary Sánchez,Milwaukee Brewers,33,156.0,0.3532,0.3085,0.3227,0.3302,Ridge regression,596142
Bo Bichette,New York Mets,28,367.0,0.2966,0.3584,0.3125,0.33,Ridge regression,666182
Taylor Ward,Baltimore Orioles,32,387.0,0.3377,0.3357,0.3296,0.3297,Ridge regression,621493
Gavin Sheets,San Diego Padres,30,265.0,0.3336,0.3206,0.3239,0.3297,Ridge regression,657757
Ryan O'Hearn,Pittsburgh Pirates,32,279.0,0.3381,0.3469,0.3324,0.3288,Ridge regression,656811
Travis Bazzana,Cleveland Guardians,23,226.0,0.3372,,0.3294,0.3284,Ridge regression,683953
Brent Rooker,Athletics,31,203.0,0.288,0.3459,0.3077,0.3281,Ridge regression,667670
Brandon Marsh,Philadelphia Phillies,28,309.0,0.3651,0.3369,0.3501,0.3274,Ridge regression,669016
Oneil Cruz,Pittsburgh Pirates,27,283.0,0.3517,0.2924,0.3296,0.3273,Ridge regression,665833
Paul Goldschmidt,New York Yankees,38,224.0,0.3813,0.3141,0.3383,0.3272,Ridge regression,502671
Vinnie Pasquantino,Kansas City Royals,28,291.0,0.2881,0.337,0.304,0.3271,Ridge regression,686469
Gabriel Moreno,Arizona Diamondbacks,26,219.0,0.3457,0.3375,0.3391,0.3269,Ridge regression,672515
Spencer Steer,Cincinnati Reds,28,308.0,0.3229,0.3134,0.318,0.3266,Ridge regression,668715
Josh Naylor,Seattle Mariners,29,338.0,0.2999,0.3483,0.3118,0.3266,Ridge regression,647304
Daulton Varsho,Toronto Blue Jays,29,267.0,0.3237,0.3412,0.3254,0.3265,Ridge regression,662139
Alex Bregman,Chicago Cubs,32,375.0,0.2996,0.353,0.3089,0.3265,Ridge regression,608324
Carlos Cortes,Athletics,29,207.0,0.3444,0.3599,0.343,0.3262,Ridge regression,666126
Nathaniel Lowe,Cincinnati Reds,30,202.0,0.351,0.2991,0.3241,0.3261,Ridge regression,663993
Luis García Jr.,Washington Nationals,26,270.0,0.3554,0.2977,0.3337,0.3259,Ridge regression,671277
Curtis Mead,Washington Nationals,25,247.0,0.3376,0.2766,0.3171,0.3254,Ridge regression,678554
Ozzie Albies,Atlanta Braves,29,347.0,0.3263,0.2926,0.3141,0.325,Ridge regression,645277
Wyatt Langford,Texas Rangers,24,173.0,0.3492,0.3346,0.3407,0.3243,Ridge regression,694671
Colt Emerson,Seattle Mariners,20,125.0,0.3167,,0.3208,0.3243,Ridge regression,806068
Mookie Betts,Los Angeles Dodgers,33,209.0,0.3107,0.3157,0.3066,0.3243,Ridge regression,605141
Fernando Tatis Jr.,San Diego Padres,27,348.0,0.3131,0.3507,0.3226,0.3243,Ridge regression,665487
Gleyber Torres,Detroit Tigers,29,190.0,0.3498,0.3297,0.3348,0.324,Ridge regression,650402
Joc Pederson,Texas Rangers,34,263.0,0.343,0.2743,0.3112,0.3239,Ridge regression,592626
Chase DeLauter,Cleveland Guardians,24,275.0,0.3249,,0.3225,0.3238,Ridge regression,800050
Lars Nootbaar,St. Louis Cardinals,28,81.0,0.3694,0.3023,0.3227,0.3235,Ridge regression,663457
Randy Arozarena,Seattle Mariners,31,327.0,0.3532,0.3298,0.3383,0.3231,Ridge regression,668227
Brandon Valenzuela,Toronto Blue Jays,25,168.0,0.3281,,0.3214,0.3231,Ridge regression,678218
Jackson Merrill,San Diego Padres,23,330.0,0.2685,0.3286,0.2933,0.3231,Ridge regression,701538
Jeremy Peña,Houston Astros,28,202.0,0.3465,0.3604,0.3452,0.3228,Ridge regression,665161
Jordan Walker,St. Louis Cardinals,24,338.0,0.3633,0.2587,0.3334,0.3228,Ridge regression,691023
J.P. Crawford,Seattle Mariners,31,283.0,0.3161,0.3207,0.3129,0.3226,Ridge regression,641487
Heriberto Hernández,Miami Marlins,26,184.0,0.2943,0.3387,0.3143,0.3225,Ridge regression,681715
Dansby Swanson,Chicago Cubs,32,311.0,0.284,0.3071,0.2886,0.3225,Ridge regression,621020
Ramón Laureano,San Diego Padres,31,206.0,0.2872,0.3613,0.3124,0.3225,Ridge regression,657656
Jarren Duran,Boston Red Sox,29,330.0,0.2651,0.3326,0.2862,0.3225,Ridge regression,680776
Willy Adames,San Francisco Giants,30,338.0,0.3007,0.3182,0.3035,0.3224,Ridge regression,642715
Jakob Marsee,Miami Marlins,25,340.0,0.2824,0.3608,0.308,0.3224,Ridge regression,805300
Kyle Manzardo,Cleveland Guardians,25,264.0,0.3111,0.3265,0.3179,0.3224,Ridge regression,700932
Adley Rutschman,Baltimore Orioles,28,232.0,0.3366,0.2959,0.319,0.3222,Ridge regression,668939
Kody Clemens,Minnesota Twins,30,278.0,0.3323,0.3038,0.3184,0.3222,Ridge regression,665019
Francisco Alvarez,New York Mets,24,193.0,0.3181,0.3403,0.3281,0.3221,Ridge regression,682626
Matt Chapman,San Francisco Giants,33,340.0,0.3088,0.3337,0.3096,0.3219,Ridge regression,656305
Brandon Nimmo,Texas Rangers,33,354.0,0.3254,0.3263,0.3182,0.3218,Ridge regression,607043
Luke Keaschall,Minnesota Twins,23,312.0,0.2888,0.3605,0.3151,0.3217,Ridge regression,807712
Luis Arraez,San Francisco Giants,29,341.0,0.3404,0.3117,0.3278,0.3214,Ridge regression,650333
Roman Anthony,Boston Red Sox,22,130.0,0.3057,0.374,0.3408,0.3214,Ridge regression,701350
Jackson Holliday,Baltimore Orioles,22,107.0,0.2991,0.3023,0.3081,0.3214,Ridge regression,702616
Brooks Lee,Minnesota Twins,25,320.0,0.3204,0.2836,0.3115,0.321,Ridge regression,686797
Maikel Garcia,Kansas City Royals,26,294.0,0.3027,0.3446,0.3167,0.3204,Ridge regression,672580
Rhys Hoskins,Cleveland Guardians,33,236.0,0.3009,0.322,0.3032,0.3202,Ridge regression,656555
